fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
01/12/2021;LeÇün;53706;164;5744;1226;24089;42.666667,-6.0
01/12/2021;Salamanca;41208;128;4417;892;37274;40.833333,-6.0
30/11/2021;Burgos;54178;55;5042;811;9059;42.383333,-3.666667
30/11/2021;LeÇün;53542;124;5738;1225;24089;42.666667,-6.0
30/11/2021;Palencia;25491;29;2576;505;34120;42.432128,-4.520647
30/11/2021;Salamanca;41080;61;4412;891;37274;40.833333,-6.0
30/11/2021;Segovia;21763;27;2079;385;40004;41.166667,-4.0
30/11/2021;Valladolid;69856;207;8326;1295;47186;41.583333,-4.666667
30/11/2021;Zamora;18675;58;2218;469;49275;41.75,-6.0
30/11/2021;Çvila;18094;30;1996;386;5019;40.616092,-4.929031
30/11/2021;Soria;12719;18;1429;296;42173;41.666667,-2.666667
29/11/2021;Burgos;54123;44;5038;811;9059;42.383333,-3.666667
29/11/2021;Palencia;25462;24;2576;505;34120;42.432128,-4.520647
29/11/2021;Salamanca;41020;51;4410;890;37274;40.833333,-6.0
29/11/2021;Soria;12701;5;1427;296;42173;41.666667,-2.666667
29/11/2021;Valladolid;69649;68;8318;1295;47186;41.583333,-4.666667
29/11/2021;Zamora;18617;6;2218;469;49275;41.75,-6.0
29/11/2021;LeÇün;53418;33;5733;1224;24089;42.666667,-6.0
29/11/2021;Segovia;21736;13;2079;385;40004;41.166667,-4.0
29/11/2021;Çvila;18066;23;1990;385;5019;40.616092,-4.929031
28/11/2021;LeÇün;53371;48;5732;1223;24089;42.666667,-6.0
28/11/2021;Palencia;25439;14;2576;505;34120;42.432128,-4.520647
28/11/2021;Soria;12696;9;1427;296;42173;41.666667,-2.666667
28/11/2021;Burgos;54066;75;5038;811;9059;42.383333,-3.666667
28/11/2021;Zamora;18609;4;2218;469;49275;41.75,-6.0
28/11/2021;Salamanca;40965;57;4409;889;37274;40.833333,-6.0
28/11/2021;Valladolid;69581;95;8318;1295;47186;41.583333,-4.666667
28/11/2021;Çvila;18042;27;1989;384;5019;40.616092,-4.929031
28/11/2021;Segovia;21723;11;2079;385;40004;41.166667,-4.0
27/11/2021;Çvila;18015;47;1988;383;5019;40.616092,-4.929031
27/11/2021;Palencia;25425;12;2576;505;34120;42.432128,-4.520647
27/11/2021;Salamanca;40908;85;4408;888;37274;40.833333,-6.0
27/11/2021;Valladolid;69486;172;8318;1295;47186;41.583333,-4.666667
27/11/2021;Zamora;18605;33;2218;469;49275;41.75,-6.0
27/11/2021;LeÇün;53323;114;5732;1223;24089;42.666667,-6.0
27/11/2021;Segovia;21712;22;2079;384;40004;41.166667,-4.0
27/11/2021;Burgos;53991;111;5037;811;9059;42.383333,-3.666667
27/11/2021;Soria;12687;13;1427;296;42173;41.666667,-2.666667
26/11/2021;Çvila;17968;50;1985;383;5019;40.616092,-4.929031
26/11/2021;Burgos;53880;108;5032;811;9059;42.383333,-3.666667
26/11/2021;Soria;12674;7;1426;296;42173;41.666667,-2.666667
26/11/2021;Salamanca;40823;102;4400;887;37274;40.833333,-6.0
26/11/2021;Segovia;21690;15;2079;384;40004;41.166667,-4.0
26/11/2021;Valladolid;69314;138;8310;1295;47186;41.583333,-4.666667
26/11/2021;LeÇün;53209;141;5730;1222;24089;42.666667,-6.0
26/11/2021;Palencia;25413;10;2575;504;34120;42.432128,-4.520647
26/11/2021;Zamora;18572;31;2216;469;49275;41.75,-6.0
25/11/2021;Çvila;17919;27;1984;382;5019;40.616092,-4.929031
25/11/2021;Burgos;53773;80;5030;810;9059;42.383333,-3.666667
25/11/2021;LeÇün;53068;129;5730;1222;24089;42.666667,-6.0
25/11/2021;Salamanca;40721;49;4398;887;37274;40.833333,-6.0
25/11/2021;Valladolid;69176;142;8304;1294;47186;41.583333,-4.666667
25/11/2021;Palencia;25403;28;2575;504;34120;42.432128,-4.520647
25/11/2021;Segovia;21675;19;2079;384;40004;41.166667,-4.0
25/11/2021;Soria;12667;12;1426;296;42173;41.666667,-2.666667
25/11/2021;Zamora;18542;38;2216;469;49275;41.75,-6.0
24/11/2021;Çvila;17892;64;1980;381;5019;40.616092,-4.929031
24/11/2021;Soria;12655;13;1426;296;42173;41.666667,-2.666667
24/11/2021;Valladolid;69036;115;8303;1294;47186;41.583333,-4.666667
24/11/2021;Burgos;53694;90;5028;810;9059;42.383333,-3.666667
